,text,bias
7375,The fact is that Muslims are not overrunning Europe. They are not here to ruin our beautiful and peaceful continent. They are just trying to integrate.,0
4643,How many Muslims do you know? They are an important minority in a country that is used to a lot of different cultures and religions.,0
6193,"Even if they are not citizens, they have the same rights as any other person.",0
7407,Culture and identity are vital for any society and for a multicultural one. They are not challenged by people who just come here to have a better life.,0
5921,"Not all women are interested in parenting. Likewise, not all men are interested in their carreers.",0
3875,Islamic Holocaust in on the horizon......,1
3632,Do not trust Snopes. I have lived in Japan they are extremely allergic to Muslims being there. Ill give you 50 bucks if you know a single one who has emmigrated there.,1
5362,Are you really saying that homosexuality is a disease?,0
6288,How come I have never heard of such a thing? Islam is a religion and people can chose their own.,0
7413,The notion that feminism is about women hating men is just nonsense. Feminism is about the right to life of every human being.,0
4079,My neighborhood had a gay straight tranny granny psycho nonpsycho maybepsycho could be psycho march for under noticed imbeciles.....  everyone showed up,1
2525,White people get shot all the time in Amerika. You just dont hear about it because ... theyre white.,1
4015,EXACT TRUMP QUOTES COnt. Black guys counting my money I hate it. The only kind of people I want counting my money are short guys wearing yarmulkes Those are the only kind of people I want counting my money. Nobody elseBesides that I tell you something else. I think that guys lazy. And its probably not his fault because laziness is a trait in Blacks.  By the way this and its companion post are reposts muzungu.u But since you clearly never read them Im providing them again.  Enjoy.,1
1298,those white Republicans just cant stand anything good that a black man does.,1
7487,"There is only one legal case of a 15-year-old girl convicted of stealing, but it seem to have been a hoax by the mafia.",0
6091,"Even if Jews controlled the financial world, Hollywood, academia, and the whole solar system, it doesn't mean they are evil, privileged, or greedy people. Do you have any evidence for your statement?",0
511,Homosexuality in Islam is punishable by death.  So is being an infidel.,1
2830,For some reason reading your post brings to mind Chechen President Ramzan Kadyrov. He recently denied a persecution of gay men in Chechnya which included torturing and even killing gays. His incontrovertible evidence? There are no gays in Chechnya,1
1549,Unfortunately this country was founded as a white racist nation. Most white folks dont want to admit this simple fact.  The proof is in the Constitution. The 2nd Amendment is all about white privilege. To this day white men can show up at political rallies armed with AR15s. Black people are shot on sight for the suspicion of being armed.,1
4754,The statement 'black people are subhuman' is not true. They are human beings with a human value.,0
7080,"It is important to recognize that the theories of Jewish “racial” difference were developed long before the modern sciences of physiology and genetics. Although today there is a scholarly debate over whether or not the term “race” has any scientific meaning, all reputable scientists are in agreement that, while physical traits — skin color, susceptibility to certain diseases — are inherited, there is no ethnic or racial predisposition to emotions, intellect, or morals.",0
2186,Earl:  If a Black person were to fly the Confederate flag the bold symbol of racism I would qualify it as stupidity.  Why dont you go out and find a Black person flying it give me a call and well both go ask him or her.  Ill sit by the phone.  Thanks for the question.   Gary Crum,1
3413,With all due respect I believe Biohazard is the Biohazard of white trash:  URL ?vTJTayAiygRo.,1
5610,"Actually, being gay is not a disorder. But being so harsh is close to being a human rights violation.",0
2339,Can there be two motives? Hatred based on religion is one motive. The other obvious motive is homophobia. In this case hatred of his own homosexuality.,1
4725,"Migrants are not the problem, they are part of the solution to a number of problems. For example, they are willing to work hard to integrate with us into a modern and democratic society regardless of religion.",0
5232,"Such over-simplifications are an insult to those victims of perpetrators from non-Muslim backgrounds.which, statistically, are still the majority.",0
6766,"In the modern Muslim world, the laws pertaining to blasphemy vary by country. Some radical groups have used charges of blasphemy in an effort to burnish their religious credentials and gain popular support at the expense of liberal Muslim intellectuals and religious minorities",0
5218,All religions have different ideas about how the world should be run. But I don't see any reason to restrict the right of any religion to worship and practice their own way of life as long as it respects our laws.,0
6812,"That's not true: they can be entitled to stay in the UK, regardless of their nationality.",0
760,Christianity is dying a slow death in Southcentral.,0
5514,Nice work building a wall along thousands of kilometres of shores and land borders just to separate cultures... What if we add also some turrets equipped with laser cannons?,0
6626,"I think it is fair to say that the Jews are not the only ones with power in the world, and surely there are not only Jews in the higher positions of the media, academia, entertainment, and politics.",0
4377,"Although many people have claimed that immigrants have brought diseases such as measles, hepatitis C, HIV, tuberculosis, and even Ebola, to the U.S., this allegation is not supported. There is no evidence that immigrants were the source of any recent outbreak in the U.S. According to the WHO, more than 100 countries (including many in Latin America) have higher vaccination rates than the U.S. Mexico, for example, has a 99 percent vaccination rate for measles. Guatemala, Honduras and El Salvador have a 93 percent vaccination rate. The vaccination rate in the U.S., by comparison, is 92 percent. Last but not least, the vast majority of immigrants arriving in the U.S. have been screened for health issues.",0
4180,Atheists are the biggest trouble makers and murders in the world  Around 200 million dead at the hands of atheists in the 20th century alone,1
4192,When will the BLACK people African Americans people of color get it?   Will the light ever come on for YOU????   YOU people are shooting yourself in the foot.  YOU are discouraging  WHITE business owners from hiring YOU.   WHITE Business owners  are  PARANOID of  YOU  because YOU are suing them over FALSE accusations.  If YOU have really been discriminated upon that is one thing  but the BAD APPLES are ruining it for you.,0
4795,"Citizenship in Britain is also guaranteed by 'naturalisation', so it is provided by law. It is ok not to be born in Britain and to be a British citizen just as anyone else is.",0
865,there is no such thing as a peacekeeping mission when dealing with islam,1
2878,The country is something like 80 self identified Christians so the odds are damn good.  Besides who else in this country seems to hate andor fear Muslims hint it isnt the atheists.,1
7481,Migrants pay the full value of their taxes as we do for our own. They are not different from us.,0
6983,Do you think that the problem of racism is caused by black people's laziness?,0
1596,All very Christian:  arrogant vain bigoted malicious and wilfully ignorant.,1
2958,White millennials exhibit about as much racial prejudice as measured by explicit bias as white Gen Xers and boomers.  Millennials overall are more racially tolerant than earlier generations  but thats because young people today are less likely to be white.  All ages of Whites racist millennials less likely to be white therefore more racially tolerant.,0
3333,Well guess these guilty Mexicans wont be coming to America anytime soon. They just built their own wall around them.,1
2224,Is it really surprising that white men of that era were racist? Probably hard to find one that wasnt :,1
2917,Why should they frighten you? You arent black or liberal or LGBTQ or Latino or Muslim. You probably blend right in.,1
4118,Fredrica...Go back to the Ghetto where you belong....You are not even worthy of being called a black American...,1
1863,Only Republicans should be authorized to conceal carry. Democrats are all mentally ill.,1
7664,Refugees are a part of our society. We have welcomed many of them and they have made a big contribution to our country. We are very proud of our history. We are not going to forget that.,0
8259,"If we were to strictly adhere to facts, the Crucifixion is a roman capital punishment.",0
6372,Women are free to have as many children as they want.,0
2033,From the comments Ive read here over the years Id say it was in the 50s. Women were in the kitchen Blacks swept the gutters Native Americans were still Indians Communists were the clearcut enemy and no had even heard of Muslims. Our Golden Age.  s,1
5450,"Many studies have shown that immigrants tend to pay more in taxes than they receive in benefits. So the benefits they receive are not for free, but well paid back.",0
4984,They cannot steal a job that is offered or granted,0
1444,I have often wondered that myself and after listening and watching I have come to conclusion the African American population are being taught to hate whites and they want to blame every white person for what happened decades ago.,1
7996,"The question is: are you willing to risk a backlash to fight for your moral principles, in favour of exclusion and discrimination?",0
5584,"This is not true. Even if a person practices a religion you do not approve of, you cannot expect him or her to be more likely to commit a crime.",0
3945,In Amerikkka black people because identifying someone using a colour is just so enlightened are only allowed to be grateful  Anything else is uppity and makes people nervous because it does not fit the traditional narrative of white hegemony.,1
4633,"Our immigration policy is geared for a modern, diverse, and integrated society. Refugees are welcome, regardless of their nationality, and it is good for us to have them in our country.",0
4610,It's not true that all migrants are terrorists! They just want to live their life in the country they choose as a home.,0
4892,"It is up to employers to determine if a person meets the requirements for a given job, and if they do, then there is no reason to restrict the job to a person without Downs syndrome.",0
4970,There are several Bible verses and passages that emphasize equality between people and between ancient tribes.,0
4368,"There are definitely gay people suffering at the hands of homophobic people, and it is against human rights and the law to promote such discrimination.",0
3996,Attempts to go along have never panned out well for Israel.  Jewish intolerance?  LOL,1
3432,hes a nice little black man nothing elsenothing else i can post here at least.,0
2403,The Muslim are joining SJWs to hide behind their global agenda and racism and are really just racist fascist haters of infidels. hating white people isnt racism its discrimination... You cant be a white hater and racist. WOW Next she will culling Christians... This is one very dangerous person,1
4303,This is right right out of the roundup of the Jews in Nazi Germany. Rise up. Rise up. Rise up against this FAKE president.,0
27,I hope it goes down.  Some cleansing would be goodness  Think about who the left is?  Elitists blacks browns homos and other victims and deviants,1
1612,You ignored the deaths of white folks in murder suicides. when the wife gets tired of being abused and threatens to leave and take the kids. Her frustrated white husbandbaby daddy kills them all because he loved them so much. Of course the killer needed the gun to defend his family.,1
2694,Surprising to hear this from Benedict i.e. the Pope.  Benedict is still alive and pontificating.  The Devil infiltrated the Church in the 1960s the priesthood is dominated by homosexuals and the false Pope is destroying the Church from within.  So sad.,1
4487,"Let me be absolutely clear, you are not in the ""position"" of tolerating hate; you are in the position of condemning hatred, no matter who is the target.",0
8179,"Of course not. The Jewish people have made contributions to various industries - like many other people have. That does not imply ""owing most corporation, banks, studios, etcetera"". Why should their contribution be a problem? Just because they are Jews?",0
7646,"I just would like women to feel valued and their rights respected, without being told how to live their life.",0
5400,"Let's be realistic here: if your objective is to get them all to leave then you're probably not going to succeed, especially because they are allowed to live in our society by law.",0
1670,So according to our friends on the left to speak out against Sharia law equates to hating all Muslims? A truly whacky bunch you are. No wonder you lost.,1
1271,Just your atypical african cesspool.,1
1430,Liar.  Im considering your idiotic source.  Anyone that carries the name Mohamed shouldnt throw stones.  We dont need any wannabe Muslim bringing bigotry into our great nation.  We already have way too many bigots and racists hurling stones.,1
608,Muslim jihadists organized to attack bomb kill and injure many innocent civilians in Manchester England.  For decades Muslim Islamic jihadists have been attacking killing and injuring many innocent civilians in many countries around the world including in countries that arent even fighting against Muslims in the Middle East.  So why are Muslim followers of Islam attacking killing and maiming innocent civilians in many countries around the world? What is influencing inspiring and driving them? What is their goal? What are the Muslim extremists trying to accomplish?  Does it have something to with the religion of Islam the hadiths and the verses in the Quran Muslims are obliged to follow?,1
7254,"Equality isn't about a certain group; it is about the society in which we live. You might be right in saying that this is the problem, but to define a problem by reference to a specific radical group is to completely misunderstand the nature of the system in general.",0
3043,They are so full of it they were never going to visit anyways now they think they are going to make Trump feel bad go back to your coke snorting and closeted gay sex boys,1
87,I did no such thing.  I highlighted the hypocrisy and doublestandards of socalled Christian antiabortionists and nothing more.  The rest is what you read into it apparently.  Go back and read it again then tell me how I blamed Muslim misdeeds on anyone but themselves.,1
3719,The Muslims are already reigning hell on the world. Crush them all...,1
4331,The women of this country work and provide for our children. They do not deserve to be treated as sex objects.,0
2254,Nobody is refusing to serve blacks the blind Christians or gay people. This is what fake news is all about. The florist in this case serves gay people all the time.,1
434,Contrary to liberal lies kids are learning that being white is one of the worst things you can be being a white male is a double whammy.  Liberals love to pit one group against another and spread their hate that way Unarmed minorities?   Is that why some of the most violent areas in the country are where minorities congregate?  I know from past posts that you are black and proud. From this post and others that you are prohate.   Why should it be any more racist for me to be white and proud? Antihate white proud and unapologetic.,0
4388,"They aren't a plague, and I think they have enriched our continent instead.",0
7256,Remember we live in a free and democratic country.,0
4393,"Being the chosen people does not mean that Jews have greater privileges than others or that they are better than others. Rather, according to Jewish law, it means that they have a special duty to uphold Jewish ethical teachings.",0
3485,This is what a serious mental illness looks like these paramilitariesmilitiassovereign citizens a sociopathic paranoic delusional criminal hysteria contagious to a degree armed and very dangerous.,0
218,Yup and young nonMuslim men can suddenly decide to rob a bank or commit some other crime and nobody generalizes about all of French culture as a cause. Your logic is absurd and petty.,1
6574,"We are a country of immigrants, and we welcome them, they have the ability to integrate.",0
7532,Diversity of beliefs and different religions is a good thing.,0
2720,Forget Gods promises. The defeat of Arab armies in their quest of eliminating Jews and Israel from the region adequately justifies ownership of land.,1
1152,Until the media becomes honest and reports the fact that statistically black males are more likely to become violent and that they are more likely to be involved in street crime this issue will go nowhere.,1
7107,"How about this: there are many people from other countries here, but they are not a 'burden', rather they are 'citizens'.",0
4215,Being black or white on a grey issue makes you qualified to be an asshole,0
5692,Just because you disagree with their sexuality doesn't mean you have a right to hate on them.,0
4853,How about you acknowledge their right to vote just as that of everyone else? They are citizens as much as you are.,0
5617,"Rape is always a crime but is not related to sexual orientation, nor gender. Most women are not child molesters, and most men are not child molesters either.",0
1576,NAACP  Ive noticed a trend its only black players who are disrespecting the US flag and kneeling during the national anthem.,1
2412,Americanism as in Nationalism as in White Aryan Supremacy as in German Heritage as in Fascism as in Nazism as in Slavery as in Holocaust as in Death and Destruction as in 4 Horses of the Apocalypse.,1
4116,So Negros are 12 percent of the population sadly.  NFL is 80 percent black players.  NFL head coach 25 percent.    Opps wrong topic.  Black Vance must go.  His IQ is too low and he looks totally lost.  He is lucky to have a win at all.  Chargers and Raiders almost beat us in the end.  I see no trace whatsoever of the Broncos of past on offense.  Vance must swallow hard and admit Semen is not his thing.,1
3123,A Jew tolerant of NeoNazism?   Hatemongering isnt selfloathing in disguise is it?,0
6707,"Ok. But what about those many women, outside the western world, that still do not have such equality? It is important that women 'whine' all over the world to protect their rights.",0
4429,Refugees are not a burden. We can welcome them and provide for their needs.,0
4057,Islam is a mental disease ?,0
7592,"This is a major misunderstanding of what humanity is. It's not about having a functioning body. It's about respecting the physical and mental integrity of other people, despite their limitations.",0
1786,It wasnt a race issue because Japanese is not a race. The only ones screaming racism are people like you looking to turn Freis comment into more than it is.,1
5819,"We call it democracy, but sometimes it seem the direct result of colonialism and slavery. A democratic state would rule by consent, not force.",0
6496,"They may have additional and specific needs, but children with disabilities do not present a problem for other children's education.",0
3109,Grown men are such toxic buggers. The only way to solve this is legally mandated castration of all cismales at birth. Serves them right. Pharaoh had it right by ordering the execution of all first born male children. Just be done with them and get on with your wonderful life.,1
529,One of the rationals used for mainstreaming homosexuality as normal is homosexual behavior is found among animals.  This article shows that murder is also found in nature.... so maybe murder should be celebrated also?,1
3376,You know who disrespects the country every single day? The traitorous colluding White Supremacist in the White House. And all the racists that support him.,1
415,Bill Maher  and Richard Dawkins say the same things about Islam  as The Rebel  but dont get attacked for it because they are liberals .  Double Standard .  The same people attacking The Rebel  would be fine with it if  The Rebel  went after Catholics but Islam  forget about it . What a bunch of hypocrites .,0
5403,"Rape is not a Muslim issue, nor a migrants' one. It is a question of unacceptable violence, whoever the perpetrator is.",0
2668,The Evangelicals hang on to Trump and Playboy disowns him.  That about says it for the Christian integrity of this current group of Evangelical political prostitutes.,1
1890,For 500 years the Muslim Ottoman Empire protected Jews fellow people of the book from the murderous Christians of Europe.,1
2470,You do realize that Iran and Russia are allies right?.... and that ISIS is Sunni muslim and one of its top goals is to eradicate Shia muslims which the ruling group in Iran? ISIS and Iran are sworn enemies.   Educate yourself,1
3732,Muslims commit terrorist attacks then pretend to be victims. Pathetic.,1
3205,Are you blaming American race based slavery on black folks? The underground railroad ended in Canada. You cant handle the truth about your heritage. Of course being white you are the beneficiary of the white racism and accompanying violence needed for your privileges in American history. I should have not said history. The racist violence is still current events.,1
7637,Article 3 and Article 10 protect the right to housing!,0
7886,A society is built on the cooperation of its members. Be kind to each other and respect each other's differences.,0
7793,I think the Arab community is more than capable of coming together and creating a more just and peaceful world.,0
367,Meanwhile Muslims in Toronto are launching a campaign to convince the LGBT  of Canada that Islam is their friend a better friend of transgender and gay people than those intolerant  Catholics  and Christians. Forget  about Orlando and Bataklan that was  Trump and the NRA.,1
2110,Or rooting out the trouble makers maybe. It appears the civilized world is sick of the shenanigans these Islamists are constantly up to.,1
4668,"A person's background is their own, and you do not have to be of that background to respect them.",0
2238,Yes I learned that while we still have antigay people in this country it doesnt compare to Muslim countries and it isnt sanctioned by the government.,1
1203,We are extremely lucky that Kim Jong Un is not Muslim. So the chance he will blow himself up  by attacking Hawaii is very small.,1
5936,"We have a duty to teach the truth, not distort it. The Koran is a book of faith, not a text of hate.",0
4102,Just goes to show how gullible white America is.  To go with the town butcher for brain surgery.  Unbelievable.  Enjoy Trump supporters.  You deserve it.,1
125,President Obama pardoned 4 star Marine general Cartwright today. How gay is that Trumplettes?,0
3474,Not being Muslim I dont think much of the Muslim world.  But the far right fear of it is pathetic.,1
252,If she is a nigger she isnt worth a flying fuck to Africa,1
4811,There is no evidence that Muslim have a lower average IQ than non-Muslims.,0
732,Unloving yes. You would have us believe that God is as homophobic as you are. And given that you reject Dignitatis Humanae you are NOT faithful to Church teaching.,0
1418,In other words Mr. Hannon if you were in harms way and someone was covering your back you wouldnt care if they were male female gay straight metrosexual or a democrat. Only that they shot straight. Im with you. Good comment.,0
4659,"Every society is vulnerable to disease, but Islam does not pose any threat to our country, or any other",0
3552,Can they stop forcing these unrealistic racially diverse shows on people people seldom hang out with a rainbow group of friends. I wont watch TV shows that promote race mixing and alternate lifestyles. Thankfully we have other ways to chose are media instead of being force fed anti white propaganda by the lying media.,1
3100,Dont worry Richard no one will ever take away your right to hate black people or gay people for having the same legal rights as you. Your bigotry and intolerance will always be protected by the US Constitution so you can feel free to be just as hateful and closeminded as you always have been.,0
2974,Why? and what has that to do with the topic other than most those corporations are Jew Corporations and Socialism Communism feminism fiat currency and multicult chaos was all their doing through Jew lobbies hell whats happening in Syria Afghanistan Iraq ect is all Jew sponsored Terrorism. The Talmud preaches death to gentiles so why should I care if the goose is getting what it feeds the gander? Screw the Jews they created this world mess.,1
4622,"A ban for gay men merely propagates homophobic stereotypes, and so are you with what you are suggesting.",0
7465,"You may be living in a society of imbeciles, but this doesn't give you the right to criticise all Muslims.",0
5973,"Do you actually know what it's like to be racially abused on a daily basis? I've seen people being the target of racist taunts on social media, up to the point in which racism is the normal expression used to address them.",0
7408,"Homosexuality is a not choice, but prejudice is.",0
4981,How can you say that about people of colour? What do you think they are going to do to you?,0
5361,You can't be serious! Muslims are one of the most popular religions in the EU. They are the second largest religious group in the UK. Why this discrimination?,0
7904,The strength that black people display is the strength of all people. Black people are just different in that they don't have any social advantage. We must reflect on this.,0
2923,You are minimizing a fascistracist event in history That  means you are a supporter of racism. You are probably a White male republican I presume ?,1
1939,Pretty efficient at stopping those redneck white guy terrorists a good thing homegrown islamist terrorists not so much.,1
2941,And the skin of over 50 of white women voters crawled when they saw Hillary Clintons name on the ballot.,1
7440,There is no proof for this claim. It is an opinion voiced by a few people with no evidence It isn't really true.,0
8091,I find it very offensive to mangle a person's name to promote discrimination.,0
7546,The teaching of the Qur'an as a peaceful book is not to be confused with the promotion of violent jihad and terrorism.,0
665,what a bunch of bs from the gay agenda liberals no science biology of course to support it just ideological bent nonsense..,1
6042,Maybe you should get acquainted with migrants instead of making assumptions about people you do not know.,0
8195,The main values of a peaceful movement are peaceful protest and non-violence. Why else would people from all walks of life have been demonstrating all over the world this week for Islam? To promote dialogue.,0
373,BLM should be kicked out of Pride and march alone in Chicago in a hail of black on black gun battles. The cops were good sports to take part and Pride allowed black racists to hijack themcowards ,1
1582,Errrr thats entirely the point Brady.  When a black person is implicated in these articles the commentariat the ignorant white male commentariat that is goes nuts like oooooo SEEEEEEE? Black people are always violent But when its a white guy there are just...crickets. I say time to start profiling white people based on this and other stories. Turnabouts fair play after all.,1
1602,You cant seem to read the posts of another and digest them without injecting your intrinsic antiwhite animus.,1
150,This is absolutely delusional. Sounds like you think you are a victim eh? Poor white males and their suffering at the hands of those aggressive women,1
5257,"Women are human beings like us, and they have rights as any other human beings.",0
5444,"This is not true. On the contrary, children around the world should have the opportunity to live in a world free from homophobia, transphobia and other forms of hatred.",0
3324,White people need their own country that way the ones that dont like the multicultural cesspool can live in peace but the parasites wont let that happen because they really want to eradicate the white race they cloak their anti white hate under the guise of equality and diversity.,1
6721,There is no reason for banning POC from the Olympic Games. Why should they be singled out?,0
2401,So were supposed to tolerate radical muslims trying to kill us?,1
4381,It is important to understand that this is a voluntary system and is not the norm. There is no hard law threatening the British population.,0
7480,The rich and poor have this in common: The Lord made them both.,0
4666,Is this actually a way forward? Your suggestion would surely create more problems rather than offering a panacea for society.,0
4960,"This is not correct, they have a different faith. Different people have different faiths, and so on and this is not enough for them to be considered different.",0
4582,"They are not a burden, they just want to work. How are they a burden to you?",0
7598,"For the record: Sharia law is no law in Britain. I believe that Islam is about love, not hate.",0
6250,"Homophobia is a problem all around the world, it's harmful to the whole of humanity. This is why it is important that we all accept each other, and that we all are non-judgmental.",0
5747,"Do you think Muslims don't have a place in a civilised society? I don't agree. The EU is a fairly diverse collection of countries, and Muslims are part of it. Do you really think that one group of people is incompatible with the rest of the EU because of their religion?",0
4987,There is no evidence that women are less intelligent than men. Do you have any?,0
5080,Or maybe they want their culture to survive.,0
4773,It's a myth that all Muslims are terrorists. We need to understand that all religions have had terrorists in them.,0
1606,White males laugh at these narco fems.   Your narrative shows everyone who the bullies and predators are.   It aint us man Its you.   It is truly sad how you can watch  muslim women treated like dogs and not mention anything.  Why not focus on the true enemy of women.  You would get our support by speaking clearly and honestly about midieval muslim laws....  cmon suck it up,1
7411,"First of all, there are people in the US who have lawful status and who have chosen to live in the US. Second, most immigrants are naturalized citizens. Third, there is a lot of debate about 'legitimacy' since the values of citizenship and 'legitimacy' are very different for immigrants.",0
1630,So what was that again ? We are not supposed to fear Islam? Islamaphobia I think they call it in Canada.,1
1668,White men blame women. Of all colours. White women blame dark women.,0
3241,One more black lives matter who has lost his way.,0
3262,Are these white people crazy???? What the hell are they doing in North Korea ?????,1
2325,Black lives matter. Why are there so many black on black homicides? Respect one another first then others will regard you with respect.,1
3460,Definitely need to build a wall. Mexico doesnt want our natural born white loonies who walk into a church and murder 26 people in their country.,1
962,Giving a Muslim a bad name is an oxymoron.,1
1897,Youre a fucking piece of shit idiot HRC supporting asshat. Hillary and idiots like you elected Trump by cheating Mr Sanders out of his rightful place as the Dem candidate. Here you are now trying to run your corrupt bullshit game on him some more. Go fuck yourself. This shit is your fault and youre trying to put that on the old smart socialist Jew. Eat shit fucktard.,0
1333,Lets build a theme park on Temple Mount. It will create jobs. Who cares about what jews and muslims think.,1
359,People dont like Trump because they dont like the ignorant white nationalist bigot and sexist clown that he is. On top of the fact that he sucks as president as well. And now that I used Trump and Sucks in a comment Civil Comments will delete.,0
7511,"Research clearly shows that women are more emotionally expressive (because of culture influence) but not that they experience more emotions. Both men and women can feel the same way about things - whether it be a romantic relationship, a significant other, an argument, or anything else - that can provoke a feeling of fear or anger in the “emotionally unavailable” part of the brain. That is why emotion overrides everything, regardless of gender.",0
5889,There is no proof that all Muslims are terrorists.,0
7669,"Muslim communities are under-represented in politics, especially in the House of Lords. It is high time that we stop talking about invasion and try to be more representative of the communities we claim to represent.",0
4185,The best qualified candidate is not always the disabled native lesbian who has converted to Islam.  Funny how that works.,1
7896,"The English language is a very powerful language for spreading knowledge, experience and love. Why should we use it to spread hate?",0
6237,"To allow other cultures to coexist is a good thing, why should we stop people from getting to know each other?",0
7280,"Jews are not inferior. Many of them are good people, who have given their lives for the greater good of humanity.",0
4471,"Of course not, and many of them are already welcome in the UK.",0
6739,Maybe we should have a discussion about comparing dogs to people to humiliate a religion.,0
3612,Where do terrorists come from?  Oh thats right from Muslim countries   Lets welcome them with open arms so they feel welcome  sarcasm off,1
4698,"This is not true. I think we should strive to be more ethical and human, and not to blame others for their beliefs.",0
3765,Stephen Paddock is a terrorist. The Globe should be ashamed of themselves for peddling the notion that white people cannot be terrorists. Labels matter,0
4196,The dumbing down of Catholicism.  Next ......,1
819,All over the world millions of Muslims are devoted to exterminating all the Jews. 100s of millions of Muslims want to implement Sharia law. 100s of millions of Muslims want to eliminate the infidels which is everyone that is not a follower of Islam. Why should Canadians trust Muslims?,1
3254,We will work day and night to wake up the masses.  The white majority that built the country that every 3rd world barbarian wants a piece of  are waking up.  The nihilists globalist communist fascists will be defeated.  No prisoners will be taken.,1
7939,"Do you really think that the migration crisis is caused by migrants wanting to take advantage of our weaknesses? What would we do if we were in their shoes, if we were to lose our homes? We would probably move ""to take advantage of others' weaknesses"" as well.",0
640,I dont particularly care if Margaret Sanger was a racist spoke a KKK rallies and ate black babies. I do think abortion should be an option to women in almost every circumstance. I also think women AND men should be responsible for preventing unwanted pregnancies. In this day and age unwanted pregnancies can pretty much be avoided. Fund Planned Parenthood,1
6596,"Being perceived as overweight is already one of the major reasons people get bullied, and in the end it makes no difference if the bullied person loses weight.",0
3854,NIGGER,1
2152,It is not a faith thing  traditionally Arabs looked down on blacks and they were very active in the slave trade.,1
4341,"When you say that children are being groomed by foreigners, what exactly do you mean?",0
4150,Soon enough it will be considered Islamophobic to not say the  shahada 5 times a day and for any woman to not wear a hijab. Already in London and Paris  whole sectors of the cities  are Muslim only no  go  zones which bar infidels .,1
3637,Hide all the gays  Lesbians,1
520,Islam was never a religion of peace it was borne of the sword and so too shall it end.,1
4909,Women should be given equal rights. Not all Muslims are misogynists.,0
7326,Does the 'solution' for the economic crisis revolve around paying the migrants to leave? It is not clear how this could solve to the real problems of our country.,0
2815,Why?  With your logic shouldnt a black person then would have to wear a hat saying which African Nation they are associated with like Kenyan Pride Ivory Coast Pride etc?,1
7235,You would be surprised how many feminists are very good at convincing people that changing a misogynistic and violent world is not against the interests of men.,0
7661,"You can blame women or whatever, but don't you think it is more useful to blame the person stereotyping others?",0
4243,Sources ? How about one you lackcommon sense .   Anyone who is so twisted they cant accept the way they were born cant be trusted to be in the same bathroom with young girls. Teachers and coaches have background checks .  To you  you say transgender is not synonymous with pedophilethey are kissing cousins.,1
3161,Can I sue a business owner who does not serve gays if they think I am gay but am not but refuse to provide a service to me?  I think you probably can and successfully.,1
7700,"If so, Gypsies would do it in every context and under any circumstance, luckly it is not like that.",0
4873,"Women don't like to be ""equal"" for the sake of superiority. Women like to be women, and to be treaten as humans. All humans are equal. Equality is not identity.",0
3750,Native born or immigrant Muslims are DANGEROUS.  All Europe will be an Islamic State in 30 years.,1
5325,"This religion has nothing to do with sexual violence or abuse, and it's dangerous to generalize everything into a religion.",0
