,text,identity_attack_x,bias,target,category,rationale,race,religion,gender,lgbtq,political
11,How is it racist? Racist isnt even a very good word. I like race realist. Races are different its a fact. Nothing to do with hate or superiority. A minority population of about 7 commits most of the murders in Anchorage thats a fact and it happens to be the black race.,0.6,1,blacks,race,prejudice against blacks,1,0,0,0,0
12,Exactly right. Illegal immigrants which most of these foreigners are are a total burden on the South African society most of all the poor black people.,0.642857143,1,blacks,race,prejudice against blacks,1,0,0,0,0
13,Are you talking about that white guy who ran over people and killed a woman with his car? The one that the Chump doesnt know is a terrorist? Why dont you do him a favor and send him your dictionary.,0.289473684,0,,none,,0,0,0,0,0
14,Jerry Brown the gay Governor should have called out the National Guard all Police Officers then brought out the water cannons flaten every one to the ground washed clear to the ocean any left shoot every one of these brain dead pukes This is America not Iraq. This is wrong.,0.55,1,gays,lgbtq,prejudice towards gays,0,0,0,1,0
15,PROGRESSIVES are a CLEAR and PRESENT DANGER to WHITES KILL a PROGRESSIVE and TWO NIGERS and 5 MUSLUMS to PROTECT HUMAN LIFE,0.714285714,1,"blacks,muslims","race,religion",prejudice against blacks and musims and towards whites,1,1,0,0,0
16,Only white men are allowed to be racist and sexist.,0.819444444,1,"whites,men","race,gender",prejudice against white men,1,0,1,0,0
17,I learned that those who are both religious and righteous are some of the most dangerous people on this earth.    Yes radical Islam is very dangerous.  NeverHillary,0.7,1,muslims,religion,prejudice against muslims,0,1,0,0,0
18,Not surprised.  Most Russians are criminals and their women are skanks and users...,0.911075612,1,russians,race,prejudice against russians,1,0,0,0,0
19,Butinski here is another theory.  The person at the helm was a transgender who was distracted while putting on his make up.,0.7,1,transgenders,lgbtq,prejudice against transgenders,0,0,0,1,0
20,Wow how times have changed All hail the muslim. It wasnt so very long ago that Christians were told to remove all crosses from government properties in Hawaii and even some privately owned churches were heartily challenged. Now we have foreign born muslims on the front page and their right to be is heavily protected. Go figure.,0.8,1,muslims,religion,prejudice against muslims,0,1,0,0,0
21,Its time for the GOP to live on earth instead of some conservative other world they live on where everyone is white and up tight and a hypocrite in the end anyway.,1.0,1,whites,race,prejudice against whites,1,0,0,0,0
22,Why would you think that???  Black racists were empowered by Obamas election.,0.575,1,blacks,race,prejudice against blacks,1,0,0,0,0
23,They still throw gays off buildings and stone women.,0.636363636,0,,none,,0,0,0,0,0
24,So you think its okay to have black slaves and relegate them to the back of the bus and separate facilities and that its okay for cops to profile and kill innocent blacks.,0.6125,1,blacks,race,,1,0,0,0,0
25,Muh master race Muh genetic superiority Man these white supremacists are such fragile snowflakes.,0.581081081,1,whites,race,prejudice against whites,1,0,0,0,0
26,Even hate speech is protected do you not know?  White nationalists are rarely satisfied with verbalizing their hatred training every day for putting it into action.,0.6,1,whites,race,prejudice against whites,1,0,0,0,0
27,I hope it goes down.  Some cleansing would be goodness  Think about who the left is?  Elitists blacks browns homos and other victims and deviants,0.771428571,1,"left wing,blacks,browns,homossexuals","political,race,lgbtq",prejudice against lefts,1,0,0,1,1
28,Do all white nationalists have bizarre hair styles? This guy Trump...,0.5,1,whites,race,prejudice against whites,1,0,0,0,0
29,What about all your angry white men attacking non whites in their offices clinics and churches? Wasnt it a white guy that parked a yellow Ryder truck filled with ANFO outside the Oklahoma City building with a child care center in it?   Oh yeah. How quickly you forget.,0.6,1,"whites,men","race,gender",prejudice against white men,1,0,1,0,0
30,Totally disagree with these thugs.  They are no didferent from the klu klux klan. They are not doing anything positive only looting and destroying things. All black bloc should be arrested and thrown in jail.  If you want change then use the ballot box.,0.8,1,blacks,race,prejudice against blacks,1,0,0,0,0
31,Not possible with all the bloodthirsty leftists and Islamists out there.,0.8,1,"left wing,muslims","political,religion",prejudice against left wing and muslims,0,1,0,0,1
32,How come Black people arent put under the same microscope ? Is it because these politically correct are scared to?,0.5,0,,none,,0,0,0,0,0
33,Being antiracist isnt racist. The right has tried to peddle that antiwhite nonsense for two generations now since the GOP adopted all the orphaned racist southerners abandoned by the Democrats. No one has said border control is racist. Youre engaging in whats known as equivocation.,0.5,1,whites,race,prejudice against whites,1,0,0,0,0
34,Right. There is a nationwide conspiracy to pick up and arrest black men. Got it.,0.6,1,blacks,race,prejudice against blacks,1,0,0,0,0
35,Not personal at all Richard WhynerI despise all white supremacists who are too cowardly to openly declare themselves.  Even more than I despise the ones who arent.,0.7,1,whites,race,prejudice against whites,1,0,0,0,0
36,Decent post but you need to drop the white trash thing.,0.72972973,1,whites,race,prejudice against whites,1,0,0,0,0
37,Clean out the swamp.  Screen out the fragile seminarians early and often.  What a mess.   Gay orgies.  Who is Francis to judge though  Indeed.,0.575,1,gays,lgbtq,prejudice against gays,0,0,0,1,0
38,Black Lives dont seem to matter. They keep filling up the prisons with billions of tax payer money down the toilet.,0.6125,1,blacks,race,prejudice against blacks,1,0,0,0,0
39,Does our own include black and brown people?,0.6,0,,none,,0,0,0,0,0
40,This article sounds Painfully Black if you ask me,0.833333333,0,,none,,0,0,0,0,0
41,Promoting blacks in the HPD is brutalizing? How so? You against affirmative action for some reason?,0.6,1,blacks,race,prejudice against blacks,1,0,0,0,0
42,The fact that you need to consult a web site in order to locate those measly 200 or so gayfriendly parishes out of a total of 17651 Catholic parishes in the United States is a statement in and of itself. Ill say no more.,0.6,1,"christians,gays","religion,lgbtq",prejudice against christians and gays,0,1,0,1,0
43,Russell did three tours in Afghanistan and Iraq. He was taught that the solution to disagreement is through violence and that Asians and persons of Islamic beliefs are bad or evil and are in some twisted way a threat to our country. Since leaving the military he suffered a serious headbrain injury and is under the care of the Veterans Administration. These facts do not excuse his racist outrage but somewhat explain how he came to be the tormented individual that he is.,0.5,1,"asians,muslims","race,religion",prejudice against asians and muslims,1,1,0,0,0
44,I agree that Lee was doing his duty and was an honourable man. However the guys trying to stop the removal of his statue arent interested in that they are interested in a form of white control of the South and having the black people put back in their places.,0.6,1,"blacks,whites",race,prejudice against blacks and towards whites,1,0,0,0,0
45,I believe all Indians should go back to their reserves. there is no need for them to have an education Indians never went to school before the white man came here. If all Indians were back on the reserve they could immerse themselves in their culture and be happy. Canadians will continue to carry them on our backs.,0.5,1,"indians,whites",race,prejudice against whites and indians,1,0,0,0,0
46,Well since youre gay I suppose its OK that you sexually harassed a minor. My bad.,0.7125,1,gays,lgbtq,prejudice against gays,0,0,0,1,0
47,The violent and intolerant left?....more alt truth or in plain english lies.  6 Muslims in Quebec city might disagree if they were alive to tell you what they thought...just one example that comes to mind...oh and how about black people at a prayer meeting? Ring any bells?....oh heres another Timothy Mcveigh? In fact the list is pretty lengthy...and were not talking about a little property damage sir...  You might want to do a little learning yourself.,0.6,0,,none,,0,0,0,0,0
48,The Left hate on Left White Women in race for the Georgian Governors Race: One of the main mantras of the chant was trustblackwomen  URL thelefteatsitsownwhitefemalegovcandidateshouteddowningeorgia  I expect no less from your Racist Party lol  BLM Barry Jesse Al Fredericka and Holy women Ms. Nadal and Ms. Brazille should be Proud of themselves. The New m.o. of the Democratic Party antiWhites You got duped crafted by the Democratic Racist Tools,0.555555556,1,liberals,political,prejudice against liberals,0,0,0,0,1
49,Hey look its more white folk that dont understand what its like to be black folk,0.6125,0,,none,,0,0,0,0,0
50,Deport him right Tumpites? Crimes are only committed by illegals and Muslims. Thats what y ou people makw it out to be. Crimes against the elderly are almost as bad as crimes against children in the law of of prisoners. Prisoners will give this guy a good treatment when He gets to the joint.,0.5,1,"men, muslims","gender,religion",prejudice against,0,1,1,0,0
51,Wow Paris police.  Youve got Muslims who have taken over your city and shoot people when they get their feelings hurt so you kill a Chinese guy who is cutting up fish for dinner. Nice.,0.5,1,"muslims,chinese","religion,race",prejudice against muslims and towards chinese,1,1,0,0,0
52,Most Republicans are probably retarded.,0.274193548,1,republicans,political,prejudice against republicans,0,0,0,0,1
53,I read on three different places on the internet that Nick Travis is a transgender bathroom checker vigilante. Its out there go do your own google search,0.25862069,0,,none,,0,0,0,0,0
54,WE NEED TO PERSECUTE THESE CHRISTIANSPLEASE JOIN US,0.9,1,christians,religion,prejudice towards christians,0,1,0,0,0
55,May the black faced loser be long gone.,0.851851852,0,,none,,0,0,0,0,0
56,PRips This sounds like a muslim trying to sound intelligent. Read the post again.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
57,I got your point NeoNazi GOOD Muslim BAD...MAGA,0.685714286,1,muslims,religion,prejudice against muslims,0,1,0,0,0
58,Many Whites pretend diversity is a strength to avoid being called a racist. What evidence do Canadians have a White minority Canada will be safer wealthier and more united than now? None.,0.6,1,whites,race,prejudice against whites,1,0,0,0,0
59,He was sick with hatred of white people who were his victims and should have never been aloud in this country cant you see hes a middle eastern muslim.,0.8,1,muslims,religion,prejudice against muslims,0,1,0,0,0
60,Police are taught to look for unusual and suspicious behavior Black Male between 25 and 35 those are code wordslanguage to just pull over and harass black people.,0.7,1,blacks,race,prejudice against blacks,1,0,0,0,0
61,Give it up Black.  You keep talking about this phantom working class that appears to fit every news article that features a story of Alaska Natives.  Ill bet you havent work all your life and now true hardworking people will have to subsidize you too.,0.5,1,blacks,race,prejudice against blacks,1,0,0,0,0
62,Uh huh. Just like women get themselves raped.  Too bad lesbianism isnt a choice.,0.5125,1,lesbians,lgbtq,prejudice against lesbians,0,0,0,1,0
63,Youre a crappy feminist.,0.552631579,1,feminists,political,prejudice against feminists,0,0,0,0,1
64,White male racists did it,0.625,1,whites,race,prejudice against whitess,1,0,0,0,0
65,Actually aparthied was created to protect whites from violent blacks. Now that whites have no power all of their fears are playing out and genocide is in full swing. The white population has gone from 30 to less than 10.,0.9,1,blacks,race,prejudice against blacks,1,0,0,0,0
66,White supremacists and neoNazis deserve all the shaming and social punishment they get. Period.,0.525,1,whites,race,prejudice against whites,1,0,0,0,0
67,Western chauvinist  white racist.,0.6,1,whites,race,prejudice against whites,1,0,0,0,0
68,Since all do it...none are guilty or all guilty to the same degree?  Maybe a couple of nuclear bombs should be dropped on a Muslim country.,0.7,1,muslims,religion,prejudice against muslims,0,1,0,0,0
69,... Republicans are super fakey christian dirt bags ... theyd stab anyone in the back for a buck.,0.571428571,1,"republicans,christians","political,religion",prejudice against republican christians,0,1,0,0,1
70,Just so Im clear your approach to toughening up Christians is to throw rocks at them and see if they can take the hit?  Yoiks,0.285714286,0,,none,,0,0,0,0,0
71,Its not absurd to say a philosophy which calls for the death or enslavement of everyone else except Muslims has an influence. Islam is problematic as a belief system. All the Abrahamic religions are nonsense. STOP SPREADING LIES I blame the media for giving credence to such nonsense supernatural garbage clearly not real.,0.515151515,1,muslims,religion,prejudice against muslims,0,1,0,0,0
72,Well well well look at this. Im taking the waiters side. I think this jackass is a lying low life looking to exaggerate his cause. This is typical black racist antiAmerican slander.,0.55,1,blacks,race,prejudice against blacks and anti americans,1,0,0,0,0
73,Republicans are all about pretending and being fake Christians it is what they do BEST these days ...,0.5,1,conservatives,political,prejudice against conservatives,0,0,0,0,1
74,Islam is a pernicious malignancy. Moses is the true prophet. I would prefer not being under Islamic compulsion. There is no redemption under compulsion. If youre forced to pray 500 times a day it has no true meaning because it was an act of submission not voluntary. Little wonder they rebel and see no future for themselves. They should ask Jesus and Moses to redeem them.,0.8,1,muslims,religion,prejudice against muslims,0,1,0,0,0
75,I think it is just that a Muslim terrorist fits his narrative while a white one does not.  All in all pretty pathetic that he plays these games.,0.6,0,,none,,0,0,0,0,0
76,Black Lives Matter wait then what about Red White Yellow and Brown Lives? If blacks can say nigger in the white house then what the hell you doing taking my comments down? Get a pair nigga,0.787878788,1,blacks,race,prejudice against blacks,1,0,0,0,0
77,Stop calling this vermin a white nationalist. Hes a white supremacist and a nazi the worst scum there is.,0.605263158,1,whites,race,prejudice against whites,1,0,0,0,0
78,White lady ?  What  a disgusting remark.,0.256756757,0,,none,,0,0,0,0,0
79,So if I wear a Tshirt that says on the front Fuck black people and on the back says Being white is shit and walk around UCT campus it is just expression and art then I will agree with the courts decision.Otherwise I accuse it of prejudice and a doublestandard in the only time that will ever exist.Which is  drum roll please  right NOW,0.625,0,,none,,0,0,0,0,0
80,Who am I to judge? means very little when you just got fired for being gay while working for a church.,0.833333333,1,gays,lgbtq,prejudice against gays,0,0,0,1,0
81,I agree with you Don227. If there was an article disparaging women as idiots there would be a protest and a parade.,0.833333333,1,women,gender,prejudice against women,0,0,1,0,0
82,Those five police officers would still be alive if the police themselves didnt allow dirty cops to run roughshod over the people especially blacks.,0.638888889,1,blacks,race,prejudice against blacks,1,0,0,0,0
83,WTF???? Stop demonizing black children?  How about these useless children stop terrorizing law abiding citizens?  He got what he deserved the little wanna be gansta punk.,0.631578947,1,blacks,race,prejudice against blacks,1,0,0,0,0
84,So basically it will now be a crime to insult Prophet Mohammed. Canada joins the ranks of Islam the most backwards society on earth.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
85,Bc the left hates white people especially white men.  This is acceptable violence and hate for them.,0.621212121,1,liberals,political,prejudice against liberals,0,0,0,0,1
86,How can you compare Japanese and Muslims. Japan attacked military targets only Extremist Muslims attack innocent civilians with bombs and chop their heads off if they refuse to convert and join their jihad. Japanese should be insulted by such comparisons.,0.5,1,"asians,muslims","race,religion",prejudice against asians and muslims,1,1,0,0,0
87,I did no such thing.  I highlighted the hypocrisy and doublestandards of socalled Christian antiabortionists and nothing more.  The rest is what you read into it apparently.  Go back and read it again then tell me how I blamed Muslim misdeeds on anyone but themselves.,0.6,1,christians,religion,christians are hypocrites,0,1,0,0,0
88,See? Catholicism is no better than Islam. Both religions hate women and homosexuals.,0.883060109,1,"christians,muslims",religion,prejudice against christians,0,1,0,0,0
89,Zuma is a hopeless basket case. And he hates all white people which clearly makes him a racist.,0.530864198,0,,none,,0,0,0,0,0
90,The muslims guiding book of beliefs  their constitution is the koran. Read it  dozens of passages urge all muslims to either convert or abuse  kill all who do not subscribe to it. Considering the words in the koran I wonder how any reasonable person could call themselves a muslim. Clearly islam is the enemy of every person in the world including those who call themselves muslims.,0.9,1,muslims,religion,prejudice against muslims,0,1,0,0,0
91,I wonder how many of the black students that complained about this are even local or state residents?,0.5,1,blacks,race,prejudice against blacks,1,0,0,0,0
92,Living in Canada is worse than living in the Congo,0.5,1,canadians,race,prejudice against canada,1,0,0,0,0
93,Multiculturalism is ok but it needs its limits. If we create a country that ignores uniform constitutional rights and endows or encourages different uneven rights upon separate groups  religious ethnic andor cultural  we will fail as a nation.  Thanks to mixedfeministIslamic messages from Trudeau Muslim women need help in Canada  clearly theyre prisoners in a culture with misogynistic cells where many masochistically selfimpose a lockdown with religious fervour and stubbornly argue with critics that its their democratic right to do so.  Easy to speak for the few too bad it imprisons the majority of fearful moderate Muslim women who given the chance just want to blend in with other western women.  How do we know this? Just look at the historical direction of Muslim women in Iran Pakistan Turkey and others where gradual relaxations on strict cultural garb inevitably leads to crushing crackdowns upon women by male Islamic religion police  be they official or unofficial.,1.0,0,,none,,0,0,0,0,0
94,lefties or liberals with mental disorders cannot handle the truth.,0.5,1,liberals,political,prejudice against liberals and lefts,0,0,0,0,1
95,yes I have seen this and it is not a lie every muslim takes a vow to kill,0.7,1,muslims,religion,prejudice against muslims,0,1,0,0,0
96,lying  black  bastard  happy?,0.796875,0,,none,,0,0,0,0,0
97,Unless the comparison is apt. Heres the 8chan thread Trump lifted his HillaryStar of David meme from:  URL  It also features sentiments such as: Death to all nonwhites Hail Victory and Jews are twofaced backstabbers who arent to be trusted and refers to Hitler as Uncle Adolf.  Recall he also retweeted this:    URL ?ref_srctwsrc5Etfw   from which Trump STILL hasnt taken down  And he told the Republican Jewish Coalition: Youre not going to support me because I dont want your money he said. You want to control your own politician.  Cant you connect the dots Kalli?? Or are pleased that a white supremacist will shortly be occupying the Oval Office?,0.8,1,whites,race,prejudice against whites,1,0,0,0,0
98,I know. I keep getting figuratively spat on for pointing it out. There are Caucasoid Mongoloid and Negroid Muslims  all threee races,0.565789474,0,,none,,0,0,0,0,0
99,Theres no grouping clueless  Check out the FACTS which apparently dont fit your liberal views.  70 out of wedlock birth rate among young black females and to many of the males leaving them alone.  Black on black crime rate up double digits in Chicago in 2017 alone  And the lists go on and on.  Im no where near as ignorant and arrogant as you sound  Just so you know I was born into a military family and was going to the same schools riding the same buses walking the same streets scout troops sports and eating in the same lunch rooms as blacks Hispanics and Asians.  And this was in the 50s  60s long before you ever saw the first minority.  And guess what clueless??  We  got along because we all were held to the same standards expected of military personaldependents living on base or in the surrounding areas.  Just a little personal knowledge and experience,0.6,1,blacks,race,prejudice against blacks,1,0,0,0,0
100,Just take a look at what they do to gays in Muslim countries like Yemen Saudi Arabia and Iran  and Kenney and the Conserves are our saviors by comparison.,0.5,1,"muslims,gays","religion,lgbtq",prejudice against muslims and towards gays,0,1,0,1,0
101,Just another Middle Eastern mouthpiece meddling where he doesnt belong. Cant even run his own shit hole Country much less anyone elses. Giving Muslims a bad name just what they need,0.528571429,1,muslims,religion,prejudice against muslims,0,1,0,0,0
102,Looks like 90 of americans are utterly useless and deserve to die.  Seriously never been camping without electronics? Ever? Never done survival for 2 weeks innawoods? Its not hard I for one welcome a NK EMP because while only 10 will live we will be 100 white.,0.5,1,americans,race,prejudice against americans,1,0,0,0,0
103,Yeah the whites will play every dirty trick to make her look as if shes not the right person to lead SA,0.53125,1,whites,race,prejudice against whites,1,0,0,0,0
104,Funny. So born and bred German boyos dont do any rapin? Just like in Canada its the minorities like Bernardo Williams and Pickton raping Canadian women. You dont seem to car about that though. Why? Why are you not affronted by white men rapin yer wimminfolk?   lolz,0.6,1,whites,race,prejudice against whites,1,0,0,0,0
105,They are the freakie new breed of drag queens. They cant even admit they are gay.,0.8,1,gays,lgbtq,prejudice against men,0,0,0,1,0
106,ROI on blacks and browns are an immediate loss,0.5375,1,"blacks,browns",race,prejudice against blacks and browns,1,0,0,0,0
107,hows my boy gonna get his money if he dont steal. direct quote from a mother of black boy who was caught stealing.,0.6,1,blacks,race,prejudice against blacks,1,0,0,0,0
108,But the NFL obviously discriminates against nonblacks... its 70 percent black. Is that really the right place to push equality?,0.5,1,blacks,race,prejudice against blacks,1,0,0,0,0
109,White Radical Christian Terrorist.,0.702702703,1,"whites,christians","race,religion","prejudice against whites,christians",1,1,0,0,0
110,White slaves   We must work so they need not.,0.9,1,whites,race,prejudice towards whites,1,0,0,0,0
111,Here is another good one.  Type in Muslim rape in Google and there are 21M stories about it.  This is their culture all of these stories cant be fake.      URL meatbritainsmuslimrapegangcoverup,0.6,1,muslims,religion,prejudice against muslims,0,1,0,0,0
112,They killed my brother. and I believe I see a white person there. So stop with the race bait bullshit. A BLACK person KILLED MY BROTHER.,0.814285714,1,whites,race,prejudice against whites,1,0,0,0,0
113,The party is the home of ignorant blacks self hating leftist Jews gays feminists and union thugs They can kiss middle America goodbye.,0.9525,1,"blacks,jews,feminists,gays","race,religion,lgbtq,political","prejudice against blacks,jews,feminists,gays",1,1,0,1,1
114,black  criminal  privilege  started,0.742424242,1,blacks,race,prejudice against blacks,1,0,0,0,0
115,All for show.  Its a j0ke.  He hates black people.  And brown people. And...,0.6125,0,,none,,0,0,0,0,0
116,The worry that Trumps hateful attitude towards Muslims outside the United States will extend to them is quite understandable.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
117,Must suck to be white trash these days.,0.919135802,1,whites,race,prejudice against whites,1,0,0,0,0
118,Yes Christians are all good Muslims are all bad  Trump is always right   Back to the dark ages for the USA if this gang get their way.,1.0,1,"christians,muslims",religion,"prejudice against christians,muslims",0,1,0,0,0
119,Blacks make up approximately 13 of the US population while they commit 52 of crime. In 2014 according to the FBI 90 of black homicide victims were killed by other black people.  Honestly this is where the protesting should be.,0.8,1,blacks,race,prejudice against blackss than whites,1,0,0,0,0
120,Agreed if only reason they are enlisting is to have their transgender costs covered.  I think we should let them in but not cover any of that transgender medical treatment.  If they then cannot meet requirements of military in terms of readiness to deploy etc. then cut them loose.,0.5,1,transgenders,lgbtq,prejudice against transgenders,0,0,0,1,0
121,Oh no ... we rather give THAT to Islam Migrants that we are bringing in WITHOUT ASKING CANADIANS IF WE SHOULD Despicable Feds I am really NOT LIKING WHAT THEY ARE DOING.,0.274193548,0,,none,,0,0,0,0,0
122,ah  the  race  card  so  typical unless  the  killer  is  a black  or  a  hispanic  then its  just  coincidence  right?,0.5,1,blacks,race,prejudice against blacks,1,0,0,0,0
123,Youre saying your god doesnt believe in abortion? Really? Read the old testament. He orders his minions to kill every man woman including pregnant ones and child except for the virgin girls so many times. Hes a psycho. He made homosexuality because to christians he made us all.  In the new testament Jesus does not follow the old rules. Remember an eye for an eye? He changed it to turn the other cheek. Jews stoned people but Jesus didnt. He actually stopped a stoning. Telling them those without sin can continue to stone her.  Id suggest you read how the bible was put together and when. I did that after Prevo start thumping his bible to keep gay discrimination going. I keep meaning to thank him for helping me become an athiest.,0.7,1,homosexuals,lgbtq,prejudice against homosexuals,0,0,0,1,0
124,Feminism is... Sorry but Feminism note the big F rather than the little f is not at all about equality. And how dare you use such outdated heteronormative cisgendered patriarchal misogynistic terminology??,0.254237288,1,feminists,political,prejudice against feminists,0,0,0,0,1
125,President Obama pardoned 4 star Marine general Cartwright today. How gay is that Trumplettes?,0.5,0,,none,,0,0,0,0,0
126,Ban Muslim refugees and  I will vote for you,0.697368421,1,muslims,religion,prejudice against muslims,0,1,0,0,0
127,May blackk s  dance European style ballet or play Beethoven and Bach however well? Shall we permit naives to eat pizza or wear blue jeans? How about stopping blacks from using  public toilets and public water fountains which were the invention of 17 century English white people.,0.833333333,1,blacks,race,prejudice against blacks,1,0,0,0,0
128,Many nonwhites are very racist people.,0.515625,1,non whites,race,prejudice against non whites,1,0,0,0,0
129,Please enlighten me how in your opinion is Mayor Khan responsible for the terrorist acts committed by a bunch of lunatics who call themselves Muslims. Blaming Mr. Khan would be as silly as blaming all Christians for the atrocities committed by the Ku Klux Klan.,1.0,1,"muslims,christians",religion,prejudice against muslims and christians,0,1,0,0,0
130,How else will we learn.  Demented leftist Your feminism has turned 70 percent of women into addicted depressed low wage slaves.  You will never learn,0.833333333,1,feminists,political,prejudice against feminists,0,0,0,0,1
131,Except that Francis is really no more welcoming to gays than his immediate predecessors. He hasnt said You should not fire gay employees for being civilly married. Thats is something he should insist on if he truly means for the Church to be welcoming to LGBTs.,0.5,1,gays,lgbtq,prejudice against gays,0,0,0,1,0
132,Antihomosexual womanhating religious fanatics are not exclusive to Islam. Christianityinspired terrorism is something with which Americans are already quite familiar and the fanatics even have their own party: the GOP.  Violent Christian fanatics vote Republican.,0.5,1,"women,christians,homosexuals","gender,religion,lgbtq","prejudice against women,christians and homosexuals",0,1,1,1,0
133,What a load of garbage.  The middle east are Arabs.  It shouldnt be something that needs to align with the West.  Its THEIR lands.  Let them figure it out for themselves.  Show some respect.  We need OUT.,0.2875,0,,none,,0,0,0,0,0
134,Islamic fundamentalists assassinated innocent Christians and others in Europe see Charlie Hebdo.  A Christian fundamentalist assassinated innocent Muslims at a mosque in Quebec.   One murder is one too many. Protectionist policies are good for now.,0.6,1,muslims,religion,prejudice against muslims,0,1,0,0,0
135,When all else fails blame white males,0.9,1,"whites, men","race,gender","prejudice against whites, men",1,0,1,0,0
136,This guy sounds like a girlly man,0.263157895,1,women,gender,prejudice against women,0,0,1,0,0
137,Latinos?  The illegal INVADERS that are the surge of America.,0.8,1,latinos,race,prejudice against latinos,1,0,0,0,0
138,She probably was the only black female applicant at that time...,0.5,1,"blacks,women","race,gender",prejudice against blacks female,1,0,1,0,0
139,YAY  the system works as designed for entitled wealthy white trash Meanwhile in St Louis a judge lets a fired cop go free for killing and planting evidence on a black guy and a white campus cop admits he made up a story about being shot by a black guy on an all female campus. These are the stories my police officer husband and I get to tell our sons about when we have the talk. Sure...sounds like maga slop to me.,0.515625,1,whites,race,prejudice against whites,1,0,0,0,0
140,If you are going to start naming terrorists those lists should include all the Christian extremists who have done more damage on this continent than any other religious sect.,0.6,1,christians,religion,prejudice against christuians,0,1,0,0,0
141,I love all people but they had better think just like me or I will damn them to hell . . .  Sounds pretty Christian to me.,0.6,1,christians,religion,prejudice towards christians,0,1,0,0,0
142,Hey look at the comment section   A bunch of white folk arguing about how black folk dont have it bad .....cause ya know white folk know all about being black.,0.6125,1,"whites,blacks ",race,prejudice against whites and blacks,1,0,0,0,0
143,Im more curious about the reaction to 1k gay priests saying Were gone More than a few have already gone to live their vocations in different pastures and probably a few more will move on because of this.,0.5,1,gays,lgbtq,prejudice against gays,0,0,0,1,0
144,No they have articulated just fine. They are opposed to blacks being murdered by cops just for being black.  Otoh you and other far righties continue to try and distort this issue.  Now I do not agree with taking a knee during tge anthem but even the owners are not firing them. In fact many are backing this. And yes you are free to gripe all you want. But to lie about it you are not. Sadly u and others get by with it because nobody will go after all the liars.,0.7,0,,none,,0,0,0,0,0
145,Take the idiot pastor with you.  Heck take all of the evangelical wackjobs as well.,0.560606061,1,evangelicals,religion,prejudice against evangelicals,0,1,0,0,0
146,The word civilians means nothing to them. They want to kill ALL of the Infidels.   Islam  Death Cult,0.628571429,1,muslims,religion,prejudice against muslims,0,1,0,0,0
147,Of course no charges.  Its not illegal for cops to shoot blacks.,0.75,1,blacks,race,prejudice towards blacks,1,0,0,0,0
148,.....Communist China and their bought off shiny ponies and flood of future Muslim terrorists courtesy of the little potato has sure helped also,0.8,1,muslims,religion,prejudice against muslims,0,1,0,0,0
149,I had the same realization of the left and right in high school eventually the extreme left and right parties will join together over a petty fear. So far the petty fear has been Black people Arabic people Hispanic people and soon white people specifically elitist white people which includes both Trump and Hillary. Already defeated by extreme left and right includes Cruz Kasich Carlson Bush and McCain.,0.5,1,"blacks,whites",race,prejudice against races,1,0,0,0,0
